manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,Model S P85,310,12.12.2018,156,35.1,Winter tires,0,1,0,Normal,22.5,1,1,,9.8,
Tesla Motors,Model S P85,310,08.12.2018,93,20.7,Winter tires,0,1,0,Normal,22.26,1,1,,9.56,
Tesla Motors,Model S P85,310,06.12.2018,458,99.9,Winter tires,0,1,0,Normal,21.81,1,1,,9.11,
Tesla Motors,Model S P85,310,24.11.2018,198,39.5,Winter tires,0,1,0,Normal,19.95,1,1,,7.25,
Tesla Motors,Model S P85,310,21.11.2018,427,89,Winter tires,0,1,0,Normal,20.84,1,1,,8.14,
Tesla Motors,Model S P85,310,06.11.2018,297,57.7,Summer tires,0,1,0,Normal,19.43,1,1,,6.73,
Tesla Motors,Model S P85,310,01.11.2018,306,66.1,Summer tires,0,1,0,Normal,21.6,1,1,,8.9,
Tesla Motors,Model S P85,310,24.10.2018,314,59.6,Summer tires,0,1,0,Normal,18.98,1,1,,6.28,
Tesla Motors,Model S P85,310,20.10.2018,250,46.1,Summer tires,0,1,0,Normal,18.44,1,1,,5.74,
Tesla Motors,Model S P85,310,15.10.2018,276,56.7,Summer tires,0,1,0,Normal,20.54,1,1,,7.84,Schaffhausen
Tesla Motors,Model S P85,310,13.10.2018,173,29,Summer tires,0,1,0,Normal,16.76,1,1,,4.06,Bad Rappenau
Tesla Motors,Model S P85,310,12.10.2018,226,43.8,Summer tires,0,1,0,Normal,19.38,1,1,,6.68,Sulz Vöhringen
Tesla Motors,Model S P85,310,12.10.2018,156,30.8,Summer tires,0,1,0,Normal,19.74,1,1,,7.04,
Tesla Motors,Model S P85,310,06.10.2018,153,27.7,Summer tires,0,1,0,Normal,18.1,1,1,,5.4,
Tesla Motors,Model S P85,310,05.10.2018,304,53.8,Summer tires,0,1,0,Normal,17.7,1,1,,5,
Tesla Motors,Model S P85,310,30.09.2018,299,54.3,Summer tires,0,1,0,Normal,18.16,1,1,,5.46,
Tesla Motors,Model S P85,310,27.09.2018,239,42.7,Summer tires,0,1,0,Normal,17.87,1,1,,5.17,
Tesla Motors,Model S P85,310,19.09.2018,282,51.2,Summer tires,0,1,0,Normal,18.16,1,1,,5.46,
Tesla Motors,Model S P85,310,11.09.2018,250,41.9,Summer tires,0,1,0,Normal,16.76,1,1,,4.06,
Tesla Motors,Model S P85,310,08.09.2018,139,25.4,Summer tires,0,1,0,Normal,18.27,1,1,,5.57,Meienfeld
Tesla Motors,Model S P85,310,07.09.2018,256,42.5,Summer tires,0,1,0,Normal,16.6,1,1,,3.9,
Tesla Motors,Model S P85,310,06.09.2018,471,82.4,Summer tires,0,1,0,Normal,17.49,1,1,,4.79,
Tesla Motors,Model S P85,310,03.09.2018,722,132.9,Summer tires,0,1,0,Normal,18.41,1,1,,5.71,
Tesla Motors,Model S P85,310,26.08.2018,166,31.4,Summer tires,0,1,0,Normal,18.92,1,1,,6.22,
Tesla Motors,Model S P85,310,25.08.2018,344,65,Summer tires,0,1,0,Normal,18.9,1,1,,6.2,
Tesla Motors,Model S P85,310,22.08.2018,406,67.7,Summer tires,0,1,0,Normal,16.67,1,1,,3.97,
Tesla Motors,Model S P85,310,18.08.2018,235,41.4,Summer tires,0,1,0,Normal,17.62,1,1,,4.92,
Tesla Motors,Model S P85,310,15.08.2018,273,47.5,Summer tires,0,1,0,Normal,17.4,1,1,,4.7,
Tesla Motors,Model S P85,310,10.08.2018,100,18.5,Summer tires,0,1,0,Normal,18.5,1,1,,5.8,
Tesla Motors,Model S P85,310,06.08.2018,178,31.7,Summer tires,0,1,0,Normal,17.81,1,1,,5.11,
Tesla Motors,Model S P85,310,05.08.2018,213,35.9,Summer tires,0,1,0,Normal,16.85,1,1,,4.15,
Tesla Motors,Model S P85,310,04.08.2018,320,54.2,Summer tires,0,1,0,Normal,16.94,1,1,,4.24,
Tesla Motors,Model S P85,310,03.08.2018,62,11.2,Summer tires,0,1,0,Normal,18.06,1,1,,5.36,
Tesla Motors,Model S P85,310,01.08.2018,151,24.5,Summer tires,0,1,0,Normal,16.23,1,1,,3.53,
Tesla Motors,Model S P85,310,30.07.2018,253,45.3,Summer tires,0,1,0,Normal,17.91,1,1,,5.21,
Tesla Motors,Model S P85,310,28.07.2018,317,56.5,Summer tires,0,1,0,Normal,17.82,1,1,,5.12,
Tesla Motors,Model S P85,310,21.07.2018,232,41,Summer tires,0,1,0,Normal,17.67,1,1,,4.97,
Tesla Motors,Model S P85,310,19.07.2018,163,29.4,Summer tires,0,1,0,Normal,18.04,1,1,,5.34,
Tesla Motors,Model S P85,310,18.07.2018,356,59.5,Summer tires,0,1,0,Normal,16.71,1,1,,4.01,
Tesla Motors,Model S P85,310,13.07.2018,107,20,Summer tires,0,1,0,Normal,18.69,1,1,,5.99,
Tesla Motors,Model S P85,310,08.07.2018,382,65.1,Summer tires,0,1,0,Normal,17.04,1,1,,4.34,
Tesla Motors,Model S P85,310,06.07.2018,314,56,Summer tires,0,1,0,Normal,17.83,1,1,,5.13,
Tesla Motors,Model S P85,310,04.07.2018,255,47.2,Summer tires,0,1,0,Normal,18.51,1,1,,5.81,
Tesla Motors,Model S P85,310,02.07.2018,234,40.5,Summer tires,0,1,0,Normal,17.31,1,1,,4.61,
Tesla Motors,Model S P85,310,30.06.2018,541,98.6,Summer tires,0,1,0,Normal,18.23,1,1,,5.53,
Tesla Motors,Model S P85,310,20.06.2018,258,44.6,Summer tires,0,1,0,Normal,17.29,1,1,,4.59,
Tesla Motors,Model S P85,310,19.06.2018,210,39.1,Summer tires,0,1,0,Normal,18.62,1,1,,5.92,
Tesla Motors,Model S P85,310,14.06.2018,226,42.4,Summer tires,0,1,0,Normal,18.76,1,1,,6.06,
Tesla Motors,Model S P85,310,07.06.2018,293,49.1,Summer tires,0,1,0,Normal,16.76,1,1,,4.06,
Tesla Motors,Model S P85,310,04.06.2018,402,67.9,Summer tires,0,1,0,Normal,16.89,1,1,,4.19,
Tesla Motors,Model S P85,310,02.06.2018,394,66.7,Summer tires,0,1,0,Normal,16.93,1,1,,4.23,
Tesla Motors,Model S P85,310,27.05.2018,805,149.1,Summer tires,0,1,0,Normal,18.52,1,1,,5.82,
Tesla Motors,Model S P85,310,05.05.2018,343,65.6,Summer tires,0,1,0,Fast,19.13,1,1,,6.43,
Tesla Motors,Model S P85,310,01.05.2018,213,45.4,Summer tires,0,1,0,Normal,21.31,1,1,,8.61,
