manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,ZOE Intens,30.06.2016,467,65,59,Summer tires,1,0,1,Moderate,12.6,0,0,31.3,-1.2,Summe aller Teilladungen für 06/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.06.2016,877,65,114,Summer tires,1,0,1,Moderate,13,0,0,39.2,-0.8,Summe aller Teilladungen für 05/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.05.2016,823,65,117,Summer tires,1,1,1,Moderate,14.3,0,0,38.6,0.5,Summe aller Teilladungen für 04/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.04.2016,608,65,92,Winter tires,1,0,1,Moderate,15.2,0,1,41.9,1.4,Summe aller Teilladungen für 03/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.03.2016,613,65,97,Winter tires,1,0,1,Moderate,15.8,0,1,37.4,2,Summe aller Teilladungen für 02/2016<br />Verbrauch laut Bordcomputer<br />
Renault,ZOE Intens,01.02.2016,524,65,92,Winter tires,1,1,1,Moderate,17.6,0,1,35.2,3.8,Summe aller Teilladungen für 01/2016<br />Verbrauch laut Bordcomputer
Renault,ZOE Intens,01.01.2016,1366,65,216,Summer tires,1,0,1,Moderate,15.8,0,1,35.2,2,Summe aller Teilladungen für 11+12/2016<br />Verbrauch laut Bordcomputer
Renault,Zoe Intense,28.05.2016,137.3,65,20,Summer tires,0,1,0,Normal,15.1,0,0,81,1.3,Försäljning
Renault,Zoe Intense,28.05.2016,65.6,65,11,Summer tires,1,0,1,Normal,18.2,1,0,40,4.4,
Renault,Zoe Intense,19.05.2016,65,65,10,Summer tires,1,0,1,Normal,16.2,1,0,32.7,2.4,
Renault,Zoe Intense,14.05.2016,294.4,65,47,Summer tires,1,1,1,Fast,16.2,1,0,66.7,2.4,
Renault,Zoe Intense,13.05.2016,90.9,65,15,Summer tires,1,1,1,Fast,17,1,0,62,3.2,
Renault,Zoe Intense,12.05.2016,86.5,65,15,Summer tires,1,1,1,Normal,18.3,1,0,70,4.5,
Renault,Zoe Intense,12.05.2016,248,65,38,Summer tires,1,0,1,Normal,15.5,1,0,64.5,1.7,
Renault,Zoe Intense,11.05.2016,84,65,13,Summer tires,1,0,1,Fast,16.1,1,0,45.5,2.3,
Renault,Zoe Intense,10.05.2016,123.4,65,17,Summer tires,0,0,1,Normal,14.5,0,0,63.4,0.7,
Renault,Zoe Intense,09.05.2016,118,65,18,Summer tires,0,0,1,Normal,15.8,1,0,67.7,2,
