manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,e-Golf,31.03.2015,511,85,105.89,Winter tires,0,1,1,Normal,16.7,1,1,48,4,
Volkswagen,e-Golf,22.03.2015,452,85,88.98,Winter tires,0,1,1,Normal,15.9,1,1,50,3.2,
Volkswagen,e-Golf,15.03.2015,13,85,5.68,Winter tires,0,0,1,Normal,18.6,1,1,50,5.9,
Volkswagen,e-Golf,14.03.2015,72,85,10.04,Winter tires,0,1,1,Normal,17.2,1,1,59,4.5,
Volkswagen,e-Golf,12.03.2015,88,85,18.49,Winter tires,0,1,1,Normal,16.85,1,1,50.6,4.15,
Volkswagen,e-Golf,11.03.2015,25,85,2.55,Winter tires,0,0,1,Normal,21.7,1,1,23,9,
Volkswagen,e-Golf,10.03.2015,80,85,17.57,Winter tires,0,1,1,Normal,17.2,1,0,58,4.5,
Volkswagen,e-Golf,09.03.2015,89,85,19.72,Winter tires,0,1,1,Normal,17.05,1,0,57,4.35,
Volkswagen,e-Golf,06.03.2015,80,85,17.64,Winter tires,0,1,1,Normal,17.5,1,1,64,4.8,
Volkswagen,e-Golf,05.03.2015,86,85,17.06,Winter tires,0,1,1,Normal,18.3,1,1,53,5.6,
Volkswagen,e-Golf,03.03.2015,81,85,17.8,Winter tires,0,0,1,Normal,17.9,1,1,60,5.2,ab Zähler
Volkswagen,e-Golf,03.03.2015,76,85,17.27,Winter tires,0,1,1,Normal,17.9,1,1,58,5.2,
Volkswagen,e-Golf,26.02.2015,94,85,24.28,Winter tires,0,1,1,Moderate,17.8,1,1,54,5.1,ab Zähler
Volkswagen,e-Golf,19.02.2015,93,85,21.98,Winter tires,0,1,1,Normal,18.2,1,1,60,5.5,gemessen ab Zähler!
Volkswagen,eGolf,18.05.2017,1420,85,205,Summer tires,1,1,1,Normal,14.44,1,1,46.71,1.74,
Volkswagen,eGolf,15.03.2017,1354,85,214.3,Winter tires,1,1,1,Normal,15.83,1,1,54.72,3.13,Von 1. bis 14.03. kumuliert
Volkswagen,eGolf,28.02.2017,2250,85,388,Winter tires,1,1,1,Normal,17.24,1,1,55.8,4.54,Von 1. bis 28. Februar kumuliert
Volkswagen,eGolf,31.01.2017,2069,85,394.4,Winter tires,1,1,1,Normal,19.06,1,1,49.86,6.36,Von 1. bis 31. Januar kumuliert
Volkswagen,eGolf,31.12.2016,2607,85,458.9,Winter tires,1,1,1,Normal,17.6,1,1,48.82,4.9,Von 1. bis 31. Dezember kumuliert
Volkswagen,eGolf,30.11.2016,1379,85,228,Winter tires,1,1,1,Normal,16.53,1,1,48.23,3.83,Von 14. bis 30. November kumuliert.
Volkswagen,e-Golf,14.08.2020,513,100,63.25,Summer tires,0,0,0,Normal,12.33,0,0,50.66,-0.37,
Volkswagen,e-Golf,04.08.2020,312,100,40.87,Summer tires,0,0,0,Normal,13.1,0,0,53,0.4,
Volkswagen,e-Golf,02.08.2020,76,100,10.56,Summer tires,0,0,0,Normal,13.9,0,0,54,1.2,
Volkswagen,e-Golf,02.08.2020,18,100,2.41,Summer tires,0,0,0,Normal,13.4,0,0,24,0.7,
Volkswagen,e-Golf,30.07.2020,146,100,17.37,Summer tires,0,0,0,Normal,11.9,0,0,51,-0.8,
Volkswagen,e-Golf,27.07.2020,118,100,13.8,Summer tires,0,0,0,Normal,11.7,0,0,48,-1,
Volkswagen,e-Golf,26.07.2020,277,100,34.53,Summer tires,0,0,0,Normal,12.5,0,0,51,-0.2,
Volkswagen,e-Golf,23.07.2020,58,100,6.9,Summer tires,0,0,0,Normal,11.9,0,0,55,-0.8,
Volkswagen,e-Golf,22.07.2020,191,100,22.35,Summer tires,0,0,0,Normal,11.7,0,0,44,-1,
Volkswagen,e-Golf,18.07.2020,4,100,0.48,Summer tires,0,0,0,Normal,12.1,0,0,22,-0.6,
